text,label
노래 잘한다는데 히트곡 하나없네ㅋㅋ,1
정말 제목 그대로 아름다운 동행이네요~^^,0
나쁜넘들판사,1
맛있네요 이거 ㅋㅋ다이어트에 좋을듯,0
이 분 낚시터에서 같이 사진 찍었었는데,0
한굉옥 저 인간 기억한다. 자손 만대 매국노 집안 낙인,1
전 세계에 알려 닥 해외여행 못 가게 하자.,1
쪽발이들이 어떻게 나오든 콧방귀도 뀌지마라,1
국민의 참을성을 시험하지 마라!!,1
백선생님 덕분에 요리가 너무 많이 늘었어요.,0
견찰새끼들은 믿을 수가 없음.,1
타이젠으로 혈맹 통수 먼저 친게 누구더라? 하여간 국내 기레기들 진짜 삼성의나라 언론 아니랄까봐 수준.,1
요즘 넘 재미 있어요,0
상당수가 할머니라는데 대단하긴한거다 박보검,0
시술했으면 여기저기 얼굴자랑하고 다녀야지 왜 관저에만 쳐박혀있냐,1
" 대단하신 우리 백쌤, 화이팅요!!",0
 차라리 저가정책으로대충만들었는데도 이정도입니다,0
아 진짜 영화같은 경기~~!!!,0
갓윤아연기 개쩐다!!!,0
이재용씨 그동안 여야정치인 에게수없이 준 기부금(반강제)에 대해 다 까발라 버리시오 전직 대통령등 누구나 할것 없이 말이요 세상을 확 뒤집어 버리고 새로 시작합시다,1
도대체 이정부는 머하는 정부냐,1
 너무 급하게 먹으니 채할 수 밖에.쯪쯪.,1
이러려고 대통령 되셨어요?,1
박통만아니면됨ㅋㅋㅋ,1
 지금은 아이린!!,0
송지효가 눈해주고 김종국이 발해줘서 다른애들 조지는건 진짜 쩔었다 ㅠㅠ,0
말로웃겨서 큰소리로웃게한아저씨가 처음,0
 우와 정수오빠도뜨고 형돈오빠도 뜨고 .,0
꼭 평일은 날씨 좋다가 연휴때만 비오거나 이러더라 열받게,1
"시청률은 아쉽지만, 스토리 재미지고, 배우들 연기 잘하고, ost넘 좋다.",0
거짓말을 산처럼 쌓은건 박근혜 니년이다 씨댕아,1
교육계에서 완전 퇴출 시켜야 한다.,1
이번 정부는 뭐든 하는 꼬라지들보면 진짜 역대급인거같다,1
유행지난지가 언젠데ㅡㅡ,1
지금 정부는 국민들이 공부하길 바라는 정부 같다.,1
임정우... 지금 안산인데 총알택시 타고와라,1
삼성 확 망해버렸으면 천하의 카피캣 따라쟁이의 몰락,1
새누리는 비대위원장을 차라리 잡코리아에 올려 공정하게 뽑아라..ㅋㅋ,1
벌금없이 징역형만으로바꿔봐라 저러나,1
광화문이나 영동대로 막고 통행료나 좀 받아야겠다,1
삼족 멸할만 하자나,1
이종석 관상 영화 연기잊지못함혼자 붕붕~~연기많이늘어 대상 준건가?,1
 어쩔거냐 .,1
올만에 훈훈한 뉴스네요~,0
김두한 처럼 국회에 똥좀 뿌려야,1
똥같은 대통년때문에 국민이 개고생이닷!!!!!!!!!,1
16년만에 기다리고 기다리던 날이네요,0
초보자도 쉽게 따라 하면서도 맛나게 할 수 있는 비법을 전수해주시다니....,0
영화 광해를 좌파로 할 정도면 북한으로 보내서 살게해야지,1
국민들 피땀흘려 번돈 삥뜯어 처먹는 새 기들아,1
" 밥도 꾸준히 잘 먹고 건강관리 열심히해서 좋은 모습으로 쇼케이스때 꼭 보길 희망하고, 늘 응원하고 빛내줄께요!",0
귀하귀하 수귀현야 번잡이끽야! 기복아 기복아 머리를 내어 놓아라 그렇지 않으면 잡아서 구워 먹으리,1
"태극기 맞불집회 화이팅~~~ 보수단체 화이팅, 좌빨세상 걷어내자!",1
올해 대상은 송중기냐 이민호냐?,0
매 이슈마다 아몰랑했던 이유가 최순실 지시 기다리느라 그랬었군.,1
널 많이 좋아해그래서 너랑 만났구너도 알고있겠지?,0
김기춘의 죄는 명백히 드러났고 당연히 처벌도 받을 것인데 미미한 처벌을 받을까봐 두렵다. 최소 30년 이상 때려주세요.,1
너도 얼마 못가겠구나ㅉㅉ,1
중국 달걀만 아니면돼,1
우병우 졸렬하게 도망다니다가 기춘니 청문회 하는거 보고 답변 요령 얻고 겨나왔네 ㅉㅉㅉ,1
이 정권이 대통령부터 사리사욕만 챙기니까 밑에놈들도 돈에 눈이 멀었구만 ㅉㅉ,1
기아가 제일 잘 한 일중에 하나가 송은범 치워버리고 148 던지는 사이드암 군필 임기영 선수를 얻었다는거다.,0
김태리는 이뿌건 당연한데 묘한 분위기가 있음~~,0
어디서 구린 냄새 안나요?,1
하체만 보안하면 쓰임새가 많겠네,0
기자들의 언플이 FA 선수들의 몸값을 더욱 상승시키고 있는것 같다.,0
1년전 메르스 대응을 대통령보다 서울시장이 먼저한게 생각나네,1
"부활은 개뿔,,, 광고구먼,,,",1
촛불집회 하는 날이면 네이버엔 알바들이 너무 많이 보여요,1
흥민이 전방 압박 진짜 처절할 정도로 열심히 했다. 잘했다. 근데 체력이 못 받아준다;,0
앱등이들은 그냥 딱봐도 종교광신도 수준의 정신상태다,1
비아그라 복용한 댓글알바 공격이 시작되었습니다 정권 바뀌면 다들 각오하세요 댓글 달기 부끄럽지 안습니까,1
쟤네 입장에선 존나좋은거지,0
세이콘 힐배...저승사자 두산하고 3게임 이상 남아있는거 알쥐?,1
족발 예약한 시간 됐구나~~,0
타격7관왕 이대호!,0
무쟈게 오래살듯헌디 옛말 욕 먹는 사람은 장수한다자너 아..닭 수명은? ㅎㅎ,1
볼보도 중국자동차 였지...,1
개누리 비박은 국민 편에 서라!!!!,1
펜싱 박상영선수 화이팅!!,0
저 새끼 아직도 살아 있었어?,1
고생많으셨습니다. 그대의 삶에 박수를 보냅니다.,0
인생이 길다면 칠팔십년인데 한번뿐인인생 결혼식까지 단 일이주내지 며칠 하루남았다고 참고결혼하시게요?,1
티파니의 모국인 미국ㅋㅋㅋㅋㅋㅋ양키 고~홈~!!!아님 일본으로 꺼져라,1
박근혜는 빨리 자리에서 내려와 수사받아라,1
개스람은 다 죽이는게 지구를 위한길이다,1
덴맠 자칭 한인회장도 호남사람입니다...,1
기사 다시 써야겠네ㄷㄷ,1
김기춘이 조윤선이 무죄랍신다 풀어드려라,1
20대...만 쳐 맞아라.,1
내가저런사람땜에 변호사공부를포기햇엇다 ㅉㅉ,1
종석이 ㅠㅠ 강철 진짜 사랑해요,0
순실이랑 판박이네 21살맞나 ㅋㅋㅋㅋ,1
 언제나 응원하고 있어요!,0
언로도 한번 손봐야 하는데 ~~,1
부럽네요 저 성숙한 국민성이,0
 아저씨 아프다고 방송 쉬실 때 편지를 썼었는데요.,0
암튼 이준기 멋있다,0
이청아 진짜 예쁘네.,0
쥐박면허딴 김여사들을 국회로 ㅋ,1
어쨌든 실제로 차별이 있었다는게 이렇게 입증되는 거니까 조윤선 집행유예로 나오면 문제 있는거..,1
 요즘 참 감사합니다,0
백선생님을 응원합니다^^,0
국민의세금으로녹을먹고살면서..나라를.이지경까지만들고..이.썪어빠진늙은개야..,1
 나머지 끼도 없고 얼굴도 그리이쁘지도 않고 다른그룹이었으면 소리없이 없어질애들 같은데.,1
어젠 슈퍼세이브로 팀을 구하고 오늘은 끝내기 홈런 ㅋㅋㅋ,0
드라마는 꿰뚫고있으면서,1
박불통지지자 제품은 안사먹는다,1
고등학생 때 점심먹고 쉬는 시간에 함께 어울릴 친구가 없어 적적할 때 항상 영상으로 달래주었던 연아선수..,0
돈독오른 게임회사도 문제지ㅋ,1
드라마 기대돼요 화이팅~!,0
"쪽방사는 사람들을 지원해줘도 불만이 많고,노숙자 밥을 줘도 반찬투정한다더라구",1
그래도 저녁에 유느님이하는 동상이몽을 보며 하루를마칠생각에 괜히 좀좋아지네요,0
조작선동억지탄핵무효!!!!,1
진짜 갈수록 짜증나네 친일파ㅂㄷㅂㄷㅂㄷㅂㄷ 너무 싫다 증말~,1
 멋진남자 오바마,0
명불허전 한겨레ㅉㅉ,1
쓰레기하나 휴지통에 바르게 버리셨습니다.,0
절대 용서 받지 못 할 세상에서 제일 나쁜 년.....,1
바리깡으로 미는 사진 보니 원빈이 얼마나 잘생긴건지 알 수 있네요...,0
뻔뻔함에 있어 국민의 한사람 으로써 수치스러움을 금할길없다,1
네 놈의 악행! 이제 응징하러 왔다 -지진탈,1
같이 티비보면 울 엄마 쟤는 어디가든 사랑 받겠다고 하시네 부모님 정말 잘키우신듯,0
우리는 국민이? 일본은 국가가 사기집단이지~~,1
잘가라 삼성 이딴기업은 망해야함,1
와.. 드디어 1주년이네요,0
니 뽑은 년 감옥에 있고만 뭘 위에서 뽑았다는 타령하고 있어,1
쏟다니닥치고 죠낸닦는거다.,1
정부 대응은 졸 안이하다 입니다,1
대학이 기숙사 짓는데 지네가 뭔대 반대를 해!,1
갓재석님 ㅜㅜㅜ 진짜 존경함,0
어제 엄정화랑 신화할때가 가장 신났음,0
그게 무슨 의미가 있니..,1
아...개 18 욕만 쳐나와!!!!,1
요즘 배우중 조보아 참 이쁘던데~~^^,0
오늘 12시에 형돈이와대준이 피처링 아이유 음원나와요^^많이들어주세요~,0
청와대 안마방 실장:김기춘 에이스:정유라 빡근해(미혼) 3만원 긴밤가능,1
